链接	小区	户型	面积(平米)	朝向	装修	是否电梯	成交年月	成交日期	总价(万)	楼层	总楼层数	建筑年份	签约来源	单价(元/平)	状态
http://bj.lianjia.com/chengjiao/101100686658.html	润泽公馆	1室1厅	61	南	精装	有电梯	2016-10	2016.10.14	493	高楼层	共26层	2015年建板楼	链家网签约	81072	距13号线北苑995米
http://bj.lianjia.com/chengjiao/101092273358.html	润泽公馆	3室2厅	161	东 南 北	毛坯	有电梯	2016-09	2016.09.29	1345	中楼层	共15层	2015年建板楼	链家网签约	83670	EmptyInfo
http://bj.lianjia.com/chengjiao/101100406456.html	润泽公馆	1室1厅	61	南	精装	有电梯	2016-09	2016.09.18	445	低楼层	共24层	2013年建板楼	链家网签约	72951	距13号线北苑995米
http://bj.lianjia.com/chengjiao/101100424754.html	润泽公馆	4室2厅	170	东 南 北	毛坯	有电梯	2016-09	2016.09.14	1170	低楼层	共24层	2013年建板楼	链家网签约	68824	距13号线北苑995米
http://bj.lianjia.com/chengjiao/101092319902.html	润泽公馆	3室2厅	145	南 北	简装	有电梯	2016-09	2016.09.01	968	中楼层	共26层	2015年建板楼	链家网签约	66805	距13号线北苑995米
http://bj.lianjia.com/chengjiao/101100355153.html	润泽公馆	2室2厅	89	南	精装	有电梯	2016-09	2016.09.01	658	低楼层	共24层	2013年建板楼	链家网签约	74007	距13号线北苑995米
http://bj.lianjia.com/chengjiao/101091846432.html	润泽公馆	4室2厅	218	南 西 北	精装	有电梯	2016-08	2016.08.31	1300	低楼层	共23层	2013年建板楼	链家网签约	59759	距13号线北苑995米
http://bj.lianjia.com/chengjiao/101100350084.html	润泽公馆	3室2厅	145	南 北	精装	有电梯	2016-08	2016.08.19	978	低楼层	共24层	2013年建板楼	链家网签约	67295	距13号线北苑995米
http://bj.lianjia.com/chengjiao/101092369376.html	润泽公馆	3室2厅	145	南 北	简装	有电梯	2016-08	2016.08.15	911	高楼层	共26层	2015年建板楼	链家网签约	62828	距13号线北苑995米
http://bj.lianjia.com/chengjiao/101100263314.html	润泽公馆	2室2厅	89	南	精装	有电梯	2016-08	2016.08.11	588	中楼层	共24层	2013年建板楼	链家网签约	66067	距13号线北苑995米
http://bj.lianjia.com/chengjiao/101100323074.html	润泽公馆	2室2厅	107	南	精装	有电梯	2016-08	2016.08.11	730	中楼层	共23层	2015年建板楼	链家网签约	68224	距13号线北苑1030米
http://bj.lianjia.com/chengjiao/101100273691.html	润泽公馆	3室2厅	145	南 北	精装	有电梯	2016-07	2016.07.28	966	中楼层	共23层	2013年建板楼	链家网签约	66621	距13号线北苑995米
http://bj.lianjia.com/chengjiao/101092330601.html	润泽公馆	2室2厅	107	南	毛坯	有电梯	2016-07	2016.07.26	688	低楼层	共24层	2013年建板楼	链家网签约	64299	距13号线北苑995米
http://bj.lianjia.com/chengjiao/101092262821.html	润泽公馆	4室2厅	170	东 南 北	精装	有电梯	2016-06	2016.06.28	1037	低楼层	共24层	2013年建板楼	链家网签约	61000	距13号线北苑995米
http://bj.lianjia.com/chengjiao/101091665155.html	润泽公馆	4室2厅	170	南 北	精装	有电梯	2016-06	2016.06.28	1048	高楼层	共24层	2013年建板楼	链家网签约	61731	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY91921792.html	润泽公馆	2室1厅	87	南	精装	有电梯	2016-05	2016.05.21	586	高楼层	共24层	2013年建板楼	链家网签约	67109	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY91871784.html	润泽公馆	2室1厅	87	南	精装	有电梯	2016-05	2016.05.19	567	高楼层	共24层	2013年建板楼	链家网签约	64837	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY91852415.html	润泽公馆	2室1厅	87	南 北	毛坯	有电梯	2016-05	2016.05.04	515	中楼层	共11层	2015年建板楼	链家网签约	59524	EmptyInfo
http://bj.lianjia.com/chengjiao/101100286193.html	润泽公馆	3室2厅	145	南 北	简装	有电梯	2016-05	2016.05	暂无	未知楼层	共23层	2013年建板楼	可靠第三方成交	暂无均价	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY91858136.html	润泽公馆	2室2厅	87	南	精装	有电梯	2016-04	2016.04.12	530	低楼层	共24层	2013年建板楼	链家网签约	60606	房本满两年
http://bj.lianjia.com/chengjiao/BJCY91618841.html	润泽公馆	3室2厅	145	南 北	简装	有电梯	2016-04	2016.04.08	830	高楼层	共23层	2015年建板楼	链家网签约	57281	距13号线北苑1030米
http://bj.lianjia.com/chengjiao/BJCY91746353.html	润泽公馆	3室2厅	145	南 北	精装	有电梯	2016-04	2016.04	暂无	未知楼层	共23层	2013年建板楼	可靠第三方成交	暂无均价	房本满两年
http://bj.lianjia.com/chengjiao/BJCY91542287.html	润泽公馆	1室1厅	61	南	精装	有电梯	2016-03	2016.03.01	305	高楼层	共26层	2015年建板楼	链家网签约	50156	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY91495987.html	润泽公馆	1室1厅	61	南	其他	有电梯	2016-02	2016.02.28	300	高楼层	共26层	2015年建板楼	链家网签约	49334	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY91313385.html	润泽公馆	1室1厅	61	南	精装	有电梯	2016-02	2016.02.28	305	高楼层	共24层	2013年建板楼	链家网签约	50405	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY91319590.html	润泽公馆	3室2厅	143	南 北	其他	有电梯	2016-01	2016.01.16	752	低楼层	共23层	2013年建板楼	链家网签约	52430	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY89258420.html	润泽公馆	2室2厅	87	南	精装	有电梯	2015-12	2015.12.16	437	高楼层	共24层	2013年建板楼	链家网签约	50046	距13号线北苑995米
