链接	小区	户型	面积(平米)	朝向	装修	是否电梯	成交年月	成交日期	总价(万)	楼层	总楼层数	建筑年份	签约来源	单价(元/平)	状态
http://bj.lianjia.com/chengjiao/101100571979.html	西山公馆	3室2厅	150	南 北	精装	有电梯	2016-09	2016.09.27	1200	中楼层	共7层	2010年建板楼	链家网签约	80000	EmptyInfo
http://bj.lianjia.com/chengjiao/101100539977.html	西山公馆	1室0厅	33	西南	毛坯	无电梯	2016-09	2016.09.10	35	地下室	共1层		链家网签约	10661	EmptyInfo
http://bj.lianjia.com/chengjiao/101100305310.html	西山公馆	1室1厅	69	东	精装	有电梯	2016-08	2016.08.29	515	中楼层	共6层	2010年建板楼	链家网签约	74207	EmptyInfo
http://bj.lianjia.com/chengjiao/101100418134.html	西山公馆	1室1厅	69	东	精装	有电梯	2016-08	2016.08.25	500	高楼层	共6层	2010年建板楼	链家网签约	72046	EmptyInfo
http://bj.lianjia.com/chengjiao/101100229718.html	西山公馆	2室2厅	115	西南	精装	有电梯	2016-08	2016.08.19	752	低楼层	共7层	2010年建板楼	链家网签约	65391	EmptyInfo
http://bj.lianjia.com/chengjiao/101092066203.html	西山公馆	2室2厅	113	东南 北	精装	有电梯	2016-08	2016.08.19	720	高楼层	共7层	2010年建板楼	链家网签约	63717	EmptyInfo
http://bj.lianjia.com/chengjiao/101100351009.html	西山公馆	1室0厅	43	东	其他	有电梯	2016-08	2016.08.18	350	中楼层	共6层	2010年建板楼	链家网签约	81395	EmptyInfo
http://bj.lianjia.com/chengjiao/101100396318.html	西山公馆	3室2厅	151	南 北	精装	有电梯	2016-08	2016.08.18	1050	低楼层	共7层	2010年建板楼	链家网签约	69661	EmptyInfo
http://bj.lianjia.com/chengjiao/101092362570.html	西山公馆	3室2厅	151	南 北	精装	有电梯	2016-08	2016.08.17	1070	高楼层	共7层	2010年建板楼	链家网签约	70908	EmptyInfo
http://bj.lianjia.com/chengjiao/101100315521.html	西山公馆	1室0厅	42	东	精装	有电梯	2016-08	2016.08.04	320	中楼层	共6层	2010年建板楼	链家网签约	76757	EmptyInfo
EmptyLink	西山公馆	3室2厅	139	暂无数据	其他	有电梯	2016-08	2016.08	暂无	低楼层	共6层	2010年建板楼	自行成交	暂无均价	EmptyInfo
http://bj.lianjia.com/chengjiao/101100345560.html	西山公馆	3室2厅	151	南 北	其他	有电梯	2016-08	2016.08	暂无	未知楼层	共7层	2010年建板楼	可靠第三方成交	暂无均价	EmptyInfo
http://bj.lianjia.com/chengjiao/101092340567.html	西山公馆	2室2厅	114	东南 北	精装	有电梯	2016-06	2016.06	暂无	未知楼层	共7层	2010年建板楼	可靠第三方成交	暂无均价	房本满两年
http://bj.lianjia.com/chengjiao/BJHD92241820.html	西山公馆	3室2厅	151	南 北	精装	有电梯	2016-05	2016.05.29	1040	中楼层	共7层	2010年建板楼	链家网签约	68911	房本满两年
